date	value
1967-06	-0.0299
1967-07	-0.0177
1967-08	-0.0055
1967-09	-0.0317
1967-10	0.1288
1967-11	-0.0212
1967-12	-0.04
1968-01	-0.1865
1968-02	-0.1266
1968-03	0.1508
1968-04	-0.0703
1968-05	-0.0803
1968-06	-0.0161
1968-07	-0.0197
1968-08	-0.0143
1968-09	-0.0112
1968-10	0.0471
1968-11	0.0156
1968-12	-0.0431
1969-01	-0.1295
1969-02	-0.1038
1969-03	0.1222
1969-04	0.1935
1969-05	0.1756
1969-06	0.0766
1969-07	0.0933
1969-08	0.0954
1969-09	0.0843
1969-10	0.0713
1969-11	0.1896
1969-12	0.2468
1970-01	0.1214
1970-02	0.2353
1970-03	0.0317
1970-04	0.131
1970-05	0.0414
1970-06	0.0295
1970-07	-0.0218
1970-08	-0.0198
1970-09	0.0077
1970-10	-0.0367
1970-11	0.0226
1970-12	-0.0954
1971-01	-0.0045
1971-02	-0.2144
1971-03	-0.1412
1971-04	-0.1299
1971-05	-0.0899
1971-06	-0.1243
1971-07	-0.063
1971-08	-0.0688
1971-09	-0.0443
1971-10	-0.0763
1971-11	0.0363
1971-12	-0.0198
1972-01	-0.2415
1972-02	-0.1624
1972-03	0.0014
1972-04	0.0357
1972-05	0.0147
1972-06	0.0765
1972-07	0.0639
1972-08	0.0863
1972-09	0.0207
1972-10	0.0891
1972-11	0.0799
1972-12	0.2529
1973-01	0.259
1973-02	0.3722
1973-03	0.3305
1973-04	0.2502
1973-05	0.2152
1973-06	0.1972
1973-07	0.1163
1973-08	0.0774
1973-09	0.0563
1973-10	0.0446
1973-11	0.022
1973-12	0.0277
1974-01	-0.1953
1974-02	-0.2548
1974-03	-0.0509
1974-04	-0.042
1974-05	-0.0246
1974-06	-0.0375
1974-07	0.0195
1974-08	0.0131
1974-09	-0.0428
1974-10	-0.0831
1974-11	-0.0671
1974-12	-0.0976
1975-01	0.1201
1975-02	0.0326
1975-03	0.1096
1975-04	0.0779
1975-05	0.0693
1975-06	0.0342
1975-07	0.0055
1975-08	-0.0671
1975-09	0.017
1975-10	-0.1236
1975-11	-0.145
1975-12	-0.0895
1976-01	-0.0181
1976-02	-0.1221
1976-03	-0.2394
1976-04	-0.0223
1976-05	-0.1228
1976-06	-0.074
1976-07	-0.0846
1976-08	-0.0894
1976-09	-0.0426
1976-10	-0.1821
1976-11	-0.0432
1976-12	0.0906
1977-01	0.0639
1977-02	0.2384
1977-03	0.3109
1977-04	0.282
1977-05	0.2368
1977-06	0.2474
1977-07	0.1737
1977-08	0.1418
1977-09	0.1867
1977-10	0.1189
1977-11	0.2603
1977-12	0.1124
1978-01	0.1606
1978-02	0.1306
1978-03	0.2228
1978-04	0.1324
1978-05	0.0596
1978-06	0.0532
1978-07	0.0699
1978-08	0.0033
1978-09	0.0748
1978-10	0.0646
1978-11	0.2245
1978-12	0.1512
1979-01	0.1602
1979-02	0.0922
1979-03	0.243
1979-04	0.1112
1979-05	0.1569
1979-06	0.2183
1979-07	0.1746
1979-08	0.2263
1979-09	0.2519
1979-10	0.2945
1979-11	0.2953
1979-12	0.5032
1980-01	0.308
1980-02	0.3506
1980-03	0.2389
1980-04	0.3082
1980-05	0.316
1980-06	0.2474
1980-07	0.2172
1980-08	0.1957
1980-09	0.2008
1980-10	0.1821
1980-11	0.3319
1980-12	0.2674
1981-01	0.4656
1981-02	0.3629
1981-03	0.4083
1981-04	0.3579
1981-05	0.262
1981-06	0.2853
1981-07	0.2268
1981-08	0.2428
1981-09	0.186
1981-10	0.1687
1981-11	0.2119
1981-12	0.42
1982-01	0.1342
1982-02	0.1593
1982-03	0.0833
1982-04	0.2054
1982-05	0.1923
1982-06	0.1231
1982-07	0.1436
1982-08	0.1406
1982-09	0.233
1982-10	0.1771
1982-11	0.151
1982-12	0.4355
1983-01	0.5169
1983-02	0.4834
1983-03	0.4256
1983-04	0.2918
1983-05	0.2881
1983-06	0.2629
1983-07	0.2663
1983-08	0.3228
1983-09	0.3175
1983-10	0.2113
1983-11	0.4313
1983-12	0.2748
1984-01	0.2831
1984-02	0.1753
1984-03	0.272
1984-04	0.1503
1984-05	0.2834
1984-06	0.1306
1984-07	0.1193
1984-08	0.1687
1984-09	0.1431
1984-10	0.1187
1984-11	0.0365
1984-12	-0.0926
1985-01	0.1783
1985-02	0.0176
1985-03	0.1875
1985-04	0.1488
1985-05	0.1959
1985-06	0.129
1985-07	0.0779
1985-08	0.1287
1985-09	0.101
1985-10	0.1303
1985-11	0.1181
1985-12	0.1978
1986-01	0.3249
1986-02	0.2788
1986-03	0.2966
1986-04	0.2613
1986-05	0.2507
1986-06	0.2534
1986-07	0.1686
1986-08	0.1698
1986-09	0.1716
1986-10	0.2066
1986-11	0.1548
1986-12	0.2179
1987-01	0.3115
1987-02	0.5028
1987-03	0.2541
1987-04	0.3009
1987-05	0.3339
1987-06	0.3013
1987-07	0.4182
1987-08	0.3832
1987-09	0.4321
1987-10	0.3347
1987-11	0.3306
1987-12	0.5316
1988-01	0.5487
1988-02	0.3901
1988-03	0.4828
1988-04	0.4426
1988-05	0.3811
1988-06	0.3865
1988-07	0.3431
1988-08	0.3199
1988-09	0.3211
1988-10	0.3009
1988-11	0.2291
1988-12	0.3626
1989-01	0.2157
1989-02	0.3072
1989-03	0.336
1989-04	0.2891
1989-05	0.2779
1989-06	0.2727
1989-07	0.3016
1989-08	0.3021
1989-09	0.3019
1989-10	0.3044
1989-11	0.2541
1989-12	0.4013
1990-01	0.3613
1990-02	0.4072
1990-03	0.7328
1990-04	0.4907
1990-05	0.4274
1990-06	0.4114
1990-07	0.3453
1990-08	0.3479
1990-09	0.3144
1990-10	0.4277
1990-11	0.4797
1990-12	0.4481
1991-01	0.4512
1991-02	0.4661
1991-03	0.3658
1991-04	0.5168
1991-05	0.4107
1991-06	0.4813
1991-07	0.4462
1991-08	0.388
1991-09	0.3863
1991-10	0.3292
1991-11	0.3175
1991-12	0.3064
1992-01	0.4721
1992-02	0.4485
1992-03	0.4333
1992-04	0.2936
1992-05	0.3276
1992-06	0.2821
1992-07	0.1359
1992-08	0.1405
1992-09	0.0588
1992-10	0.1154
1992-11	0.0943
1992-12	0.2833
1993-01	0.384
1993-02	0.3967
1993-03	0.4208
1993-04	0.3155
1993-05	0.3438
1993-06	0.293
1993-07	0.2336
1993-08	0.2118
1993-09	0.1692
1993-10	0.2442
1993-11	0.092
1993-12	0.3188
1994-01	0.2902
1994-02	0.0791
1994-03	0.3568
1994-04	0.3568
1994-05	0.3819
1994-06	0.387
1994-07	0.3155
1994-08	0.3119
1994-09	0.33
1994-10	0.4273
1994-11	0.453
1994-12	0.4009
1995-01	0.5487
1995-02	0.6895
1995-03	0.4637
1995-04	0.4097
1995-05	0.3537
1995-06	0.4657
1995-07	0.4295
1995-08	0.5056
1995-09	0.3865
1995-10	0.4376
1995-11	0.455
1995-12	0.3477
1996-01	0.2625
1996-02	0.4562
1996-03	0.3242
1996-04	0.2725
1996-05	0.3908
1996-06	0.3547
1996-07	0.3238
1996-08	0.3206
1996-09	0.2696
1996-10	0.2276
1996-11	0.2816
1996-12	0.3893
1997-01	0.3746
1997-02	0.4288
1997-03	0.4617
1997-04	0.4551
1997-05	0.4235
1997-06	0.5308
1997-07	0.5101
1997-08	0.5491
1997-09	0.625
1997-10	0.6487
1997-11	0.5865
1997-12	0.6302
1998-01	0.6042
1998-02	0.866
1998-03	0.6396
1998-04	0.7358
1998-05	0.6679
1998-06	0.6657
1998-07	0.7358
1998-08	0.6816
1998-09	0.5271
1998-10	0.4965
1998-11	0.4132
1998-12	0.5796
1999-01	0.5007
1999-02	0.6733
1999-03	0.3702
1999-04	0.459
1999-05	0.4086
1999-06	0.4203
1999-07	0.4029
1999-08	0.3695
1999-09	0.3976
1999-10	0.3773
1999-11	0.3688
1999-12	0.5779
2000-01	0.3467
2000-02	0.5439
2000-03	0.5561
2000-04	0.6311
2000-05	0.4657
2000-06	0.4076
2000-07	0.3919
2000-08	0.4557
2000-09	0.4384
2000-10	0.3027
2000-11	0.2557
2000-12	0.3192
2001-01	0.472
2001-02	0.3946
2001-03	0.6293
2001-04	0.5666
2001-05	0.5997
2001-06	0.5373
2001-07	0.5586
2001-08	0.6032
2001-09	0.505
2001-10	0.5006
2001-11	0.688
2001-12	0.5128
2002-01	0.6962
2002-02	0.7846
2002-03	0.7887
2002-04	0.5725
2002-05	0.5656
2002-06	0.589
2002-07	0.6229
2002-08	0.5359
2002-09	0.5661
2002-10	0.4773
2002-11	0.5918
2002-12	0.4366
2003-01	0.6907
2003-02	0.5626
2003-03	0.5702
2003-04	0.5601
2003-05	0.5954
2003-06	0.5381
2003-07	0.5408
2003-08	0.6202
2003-09	0.6412
2003-10	0.7271
2003-11	0.5784
2003-12	0.7361
2004-01	0.5979
2004-02	0.7232
2004-03	0.6964
2004-04	0.594
2004-05	0.4442
2004-06	0.4707
2004-07	0.4806
2004-08	0.5141
2004-09	0.5331
2004-10	0.6177
2004-11	0.7601
2004-12	0.5081
2005-01	0.6223
2005-02	0.5143
2005-03	0.6918
2005-04	0.7314
2005-05	0.6573
2005-06	0.6722
2005-07	0.6572
2005-08	0.6247
2005-09	0.6867
2005-10	0.693
2005-11	0.728
2005-12	0.6235
2006-01	0.4567
2006-02	0.6221
2006-03	0.5931
2006-04	0.5177
2006-05	0.5499
2006-06	0.6399
2006-07	0.6218
2006-08	0.6231
2006-09	0.6337
2006-10	0.6774
2006-11	0.6449
2006-12	0.7692
2007-01	0.8839
2007-02	0.6609
2007-03	0.6668
2007-04	0.7336
2007-05	0.609
2007-06	0.5374
2007-07	0.5286
2007-08	0.5509
2007-09	0.5775
2007-10	0.567
2007-11	0.5172
2007-12	0.4872
2008-01	0.2746
2008-02	0.3774
2008-03	0.7625
2008-04	0.4827
2008-05	0.5011
2008-06	0.5314
2008-07	0.5796
2008-08	0.5594
2008-09	0.5318
2008-10	0.669
2008-11	0.6703
2008-12	0.5635
2009-01	0.5955
2009-02	0.5679
2009-03	0.5794
2009-04	0.6539
2009-05	0.5868
2009-06	0.6741
2009-07	0.6439
2009-08	0.6998
2009-09	0.7083
2009-10	0.6418
2009-11	0.6716
2009-12	0.6176
2010-01	0.6958
2010-02	0.708
2010-03	0.847
2010-04	0.8287
2010-05	0.7582
2010-06	0.7339
2010-07	0.7287
2010-08	0.6595
2010-09	0.5724
2010-10	0.6268
2010-11	0.7682
2010-12	0.4894
2011-01	0.4706
2011-02	0.4976
2011-03	0.5915
2011-04	0.6522
2011-05	0.5741
2011-06	0.6465
2011-07	0.6282
2011-08	0.616
2011-09	0.5998
2011-10	0.6349
2011-11	0.4857
2011-12	0.5485
2012-01	0.4228
2012-02	0.4235
2012-03	0.5218
2012-04	0.7335
2012-05	0.7221
2012-06	0.7039
2012-07	0.6884
2012-08	0.6694
2012-09	0.7266
2012-10	0.7022
2012-11	0.7087
2012-12	0.4655
2013-01	0.5873
2013-02	0.6357
2013-03	0.6139
2013-04	0.561
2013-05	0.7141
2013-06	0.6838
2013-07	0.6662
2013-08	0.6605
2013-09	0.6857
2013-10	0.6787
2013-11	0.8293
2013-12	0.6981
2014-01	0.6936
2014-02	0.48
2014-03	0.7695
2014-04	0.8006
2014-05	0.7938
2014-06	0.7623
2014-07	0.6988
2014-08	0.7986
2014-09	0.7872
2014-10	0.7851
2014-11	0.6895
2014-12	0.8308
2015-01	0.8141
2015-02	0.8843
2015-03	0.8969
2015-04	0.7741
2015-05	0.8584
2015-06	0.8835
2015-07	0.8072
2015-08	0.8746
2015-09	0.926
2015-10	0.9913
2015-11	0.9655
2015-12	1.1219
2016-01	1.0569
2016-02	1.1921
2016-03	1.2245
2016-04	1.0733
2016-05	0.8738
2016-06	0.9006
2016-07	0.8687
2016-08	0.8998
2016-09	0.8767
2016-10	0.7292
2016-11	0.7504
2016-12	0.7895
